marker,mutation_rate
DYF1000,0.035880708
DYF1001,0.048041045
DYF1002,0.016775396
DYF387S1,0.010224215
DYF393S1,0.007136485
DYF399S1,0.062834749
DYF403S1a,0.027253957
DYF403S1b,0.018151354
DYF404S1,0.012512031
DYR88,0.026328162
DYS1003,0.012581547
DYS1005,0.009785648
DYS1007,0.017241379
DYS1010,0.013999067
DYS1012,0.01584343
DYS1013,0.010782935
DYS442,0.000838379
DYS449,0.011216776
DYS518,0.013288448
DYS526b,0.02464744
DYS547,0.014683544
DYS570,0.00827857
DYS576,0.012674578
DYS612,0.016267943
DYS626,0.008596713
DYS627,0.014489091
DYS711,0.026561044
DYS712,0.031098546
DYS713,0.013859275
DYS724,0.048018648